Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,2716.449951,2722.000000,2684.149902,2695.800049,2654.492188,1000190
2023-06-06,2700.000000,2707.899902,2670.149902,2691.149902,2649.913330,655372
2023-06-07,2690.000000,2727.000000,2679.350098,2716.199951,2674.579590,1428490
2023-06-08,2707.000000,2721.550049,2674.899902,2679.899902,2638.835938,923536
2023-06-09,2688.949951,2688.949951,2620.100098,2636.199951,2595.805420,1413808
2023-06-12,2645.000000,2657.000000,2633.000000,2643.449951,2602.944336,775484
2023-06-13,2629.600098,2697.000000,2627.500000,2675.899902,2634.896973,1787924
2023-06-14,2671.000000,2702.100098,2652.000000,2698.750000,2657.396973,1536248
2023-06-15,2713.949951,2717.500000,2678.149902,2689.699951,2648.485596,1830192
2023-06-16,2689.699951,2724.000000,2683.199951,2715.649902,2674.037842,1748145
2023-06-19,2702.000000,2711.399902,2675.000000,2683.250000,2663.713623,1068263
2023-06-20,2670.000000,2680.399902,2648.100098,2676.100098,2656.615967,1129279
2023-06-21,2685.949951,2706.850098,2668.449951,2676.600098,2657.112305,1201840
2023-06-22,2668.649902,2678.000000,2648.699951,2654.350098,2635.024170,830052
2023-06-23,2651.300049,2660.550049,2627.449951,2641.600098,2622.367188,991214
2023-06-26,2642.149902,2674.199951,2642.149902,2652.100098,2632.790527,758700
2023-06-27,2652.100098,2661.600098,2636.000000,2651.350098,2632.046143,687747
2023-06-28,2652.949951,2687.600098,2642.000000,2661.250000,2641.873779,1397573
2023-06-30,2665.949951,2685.899902,2651.350098,2678.149902,2658.650879,1160181
2023-07-03,2687.000000,2705.850098,2659.449951,2701.050049,2681.384277,980665
2023-07-04,2701.050049,2706.699951,2675.000000,2700.000000,2680.341797,721907
2023-07-05,2699.949951,2759.399902,2696.100098,2755.850098,2735.785156,1717547
2023-07-06,2759.899902,2765.000000,2735.649902,2757.100098,2737.026123,1265020
2023-07-07,2753.100098,2769.649902,2691.000000,2698.100098,2678.455811,1178930
2023-07-10,2709.899902,2711.350098,2651.000000,2656.550049,2637.208252,1518183
2023-07-11,2657.100098,2716.750000,2646.000000,2684.500000,2664.954590,2476367
2023-07-12,2704.949951,2704.949951,2642.500000,2673.649902,2654.183594,2395826
2023-07-13,2684.949951,2687.449951,2651.199951,2654.699951,2635.371582,1495067
2023-07-14,2655.000000,2686.500000,2651.050049,2676.899902,2657.409912,1419016
2023-07-17,2670.000000,2703.199951,2670.000000,2681.699951,2662.175049,912701
2023-07-18,2685.550049,2701.100098,2677.300049,2682.800049,2663.267090,1215904
2023-07-19,2682.750000,2696.899902,2660.899902,2671.600098,2652.148682,1166542
2023-07-20,2669.050049,2716.300049,2658.199951,2703.250000,2683.568115,1430764
2023-07-21,2650.000000,2676.350098,2592.000000,2604.000000,2585.040771,5198952
2023-07-24,2604.000000,2605.949951,2575.000000,2580.250000,2561.463623,1777469
2023-07-25,2580.199951,2586.600098,2562.300049,2568.149902,2549.451660,1653775
2023-07-26,2579.500000,2598.800049,2572.300049,2583.300049,2564.491455,1300033
2023-07-27,2561.000000,2583.000000,2553.000000,2569.850098,2551.139404,2276136
2023-07-28,2570.000000,2593.750000,2565.199951,2584.600098,2565.781982,966450
2023-07-31,2575.050049,2582.899902,2554.000000,2560.800049,2542.155273,2003252
2023-08-01,2570.000000,2573.800049,2545.000000,2551.100098,2532.525879,1758897
2023-08-02,2538.000000,2573.449951,2536.000000,2568.949951,2550.245850,2082908
2023-08-03,2557.949951,2561.050049,2537.199951,2551.300049,2532.724365,1475310
2023-08-04,2551.300049,2558.949951,2535.050049,2546.000000,2527.463135,1359318
2023-08-07,2540.000000,2574.000000,2538.750000,2569.199951,2550.494141,803823
2023-08-08,2569.199951,2585.199951,2555.550049,2565.850098,2547.168701,1002061
2023-08-09,2565.850098,2568.949951,2541.000000,2552.199951,2533.617920,1212549
2023-08-10,2549.050049,2551.399902,2527.600098,2536.699951,2518.230713,1313334
2023-08-11,2535.000000,2536.649902,2499.000000,2501.800049,2483.584961,1472199
2023-08-14,2501.800049,2540.000000,2488.100098,2533.100098,2514.656982,1060479
2023-08-16,2534.000000,2555.050049,2524.399902,2552.600098,2534.015137,1155882
2023-08-17,2552.600098,2560.649902,2533.000000,2543.250000,2524.733154,1532873
2023-08-18,2532.100098,2567.750000,2532.100098,2554.750000,2536.149414,1970819
2023-08-21,2554.750000,2574.899902,2539.050049,2562.750000,2544.091064,977004
2023-08-22,2573.600098,2575.000000,2553.000000,2565.800049,2547.118896,960025
2023-08-23,2575.000000,2583.500000,2562.500000,2574.050049,2555.308838,1136112
2023-08-24,2585.000000,2591.750000,2566.949951,2581.250000,2562.456299,1143934
2023-08-25,2567.000000,2580.699951,2551.500000,2563.550049,2544.885254,802955
2023-08-28,2565.000000,2568.000000,2539.000000,2555.699951,2537.092285,619841
2023-08-29,2558.899902,2558.899902,2522.100098,2526.149902,2507.757324,958564
2023-08-30,2526.149902,2536.000000,2520.000000,2531.949951,2513.515381,1227377
2023-08-31,2532.050049,2539.800049,2491.100098,2505.050049,2486.811279,3235414
2023-09-01,2505.050049,2514.500000,2500.000000,2504.800049,2486.562988,813413
2023-09-04,2514.000000,2514.000000,2492.000000,2501.399902,2483.187744,1143301
2023-09-05,2510.000000,2523.449951,2502.100098,2507.050049,2488.796631,844088
